Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$;4390 - Taxa de juros - Selic acumulada no mês - % a.m.;Índice Geral de Preços - IGP-M(200045);IGP-M - Fechamento mensal (%)(1000367);INCC-M - Fechamento mensal (%)(1000370);IPA-M - Fechamento mensal (% mês)  (1478707);IPAEP-M Ipa - todos os itens - Nro. Índice(1473921);IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925)
06/1989;28.65;1.519;27.29;3.08619e-05;19.68;;;;24.65
07/1989;27.74;2.166;33.15;4.19429e-05;35.9;;;;29.4
08/1989;33.71;2.802;35.49;5.74266e-05;36.92;;;;32.51
09/1989;37.56;3.797;38.58;8.03499e-05;39.92;;;;34.43
10/1989;39.77;5.225;47.7;0.0001130011;40.64;;;;38.19
11/1989;47.82;7.368;48.41;0.0001587459;40.48;;;;42.01
12/1989;51.5;11.358;64.21;0.0002335659;47.13;;;;49.75
01/1990;67.55;17.731;67.6;0.0003771157;61.46;;;;62.46
02/1990;75.73;30.636;82.04;0.0006836555;81.29;;;;74.71
03/1990;82.39;42.56;36.76;0.001257552;83.95;;;;83.33
04/1990;15.52;51.243;4.23;0.001614069;28.35;;;;34.47
05/1990;7.59;55.219;5.69;0.001709725;5.93;;;;9.41
06/1990;11.75;61.022;8.73;0.00187962;9.94;;;;12.5
07/1990;12.92;68.99;13.79;0.002105394;12.01;;;;15.62
08/1990;12.88;71.674;11.53;0.002392147;13.62;;;;13.62
09/1990;14.41;84.223;15.21;0.0026984;12.8;;;;12.78
10/1990;14.36;106.95;16.49;0.003048369;12.97;;;;13.39
11/1990;16.81;144.71;19.83;0.003562291;16.86;;;;16.35
12/1990;18.44;170.06;22.86;0.004203477;18.0;;;;19.05
01/1991;20.75;220.14;21.02;0.004947516;17.7;;;;18.68
02/1991;20.72;223.43;6.85;0.005987394;21.02;;;;23.38
03/1991;11.92;238.93;8.99;0.006537412;9.19;;;;9.97
04/1991;4.99;260.73;9.67;0.007047761;7.81;;;;8.15
