Indicador,Tipo,Mediana,VaR 90% (Sup),VaR 95% (Sup),VaR 99% (Sup),Volatilidade Sim.
433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,Original (Bruto),3.109230966104114,3.6170913985709827,3.758047613556755,4.032539182514518,0.3923346548957219
3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$,Original (Bruto),13.40689734482276,14.055427185364639,14.23858802707455,14.58663933716169,0.5060750124886316
4390 - Taxa de juros - Selic acumulada no mês - % a.m.,Original (Bruto),9.386164902440644,9.870033549552069,10.00672245008744,10.293285336745138,0.3835721327703867
Índice Geral de Preços - IGP-M(200045),Original (Bruto),3.8049037773945154,4.93227642612811,5.228774633843606,5.833047017959521,0.8804772961358375
IGP-M - Fechamento mensal (%)(1000367),Original (Bruto),3.7995556811055557,4.928399779025145,5.22615144562918,5.8296833992965045,0.8806688581032492
INCC-M - Fechamento mensal (%)(1000370),Original (Bruto),3.403813072770335,4.06230362097822,4.245894887073607,4.5779608833614756,0.5086920241861719
IPA-M - Fechamento mensal (% mês)  (1478707),Original (Bruto),4.593276521026975,6.184090273079455,6.605449979111373,7.457218103545345,1.2404366702134026
IPAEP-M Ipa - todos os itens - Nro. Índice(1473921),Original (Bruto),1414.5399568589128,1492.9667431366797,1514.3646289940184,1554.4144074382448,60.53510127625714
IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925),Original (Bruto),3.0573807292511166,3.6077998547968515,3.7605677366290466,4.048775788092944,0.42436601111752914
Indicador Customizado,Ponderado (Z-Score),9.010837173698757,9.864394375959405,10.100393635517818,10.573348813216725,0.661027710387727
